# The following lines are joining a few users to the site previously created,,,,,,,,,,,,,,,,,,,,,,,,,
SiteMembers,/content/sites/communities/en/configuration.json,addMembers,weston.mccall@dodgit.com,addMembers,aaron.mcdonald@mailinator.com,addMembers,jason.werner@dodgit.com,addMembers,ryan.palmer@spambob.com,addMembers,josh.bradley@pookmail.com,addMembers,rebekah.larsen@trashymail.com,addMembers,andrew.schaeffer@trashymail.com,addMembers,donna.billups@pookmail.com,addMembers,boyd.larsen@dodgit.com,addMembers,emily.andrews@mailinator.com,addMembers,felicia.carter@trashymail.com,addMembers,ashley.thompson@spambob.com
# The following lines are creating some private messages,,,,,,,,,,,,,,,,,,,,,,,,,
Message,/content/sites/communities/en/messaging/compose.html,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,weston.mccall@dodgit.com,Invitation to a private group,"Hello Weston, I just invited you to our new private group about Rowing!",,,,,,,,,,,,,,,,,,,,,
# The following lines initialize the Social Graph,,,,,,,,,,,,,,,,,,,,,,,,,
Follow,/content/sites/communities/en/profile/jcr:content/content/primary/userprofile/socialgraph.social.json,,,,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,ashley.thompson@spambob.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,andrew.schaeffer@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,weston.mccall@dodgit.com,,,,,,,,,,,,,,,,,,,,,,,
"# The folllowing lines initialize the notifications, post 6.1 FP3",,,,,,,,,,,,,,,,,,,,,,,,,
Notification,/content/sites/communities/en/forum/_jcr_content/content/primary/forum/subscriptions.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,TRUE,,/content/sites/communities/en/forum/jcr:content/content/primary/forum,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,TRUE,FALSE,,/content/sites/communities/en/forum/jcr:content/content/primary/forum,,,,,,,,,,,,,,,,,,,,
Notification,content/sites/communities/en/profile/_jcr_content/content/primary/userprofile/subscriptions.social.json,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,,weston.mccall@dodgit.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,,ashley.thompson@spambob.com,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,TRUE,FALSE,,andrew.schaeffer@trashymail.com,,,,,,,,,,,,,,,,,,,,
# The following lines are creating Community Groups in this site,,,,,,,,,,,,,,,,,,,,,,,,,
Group,/content/sites/communities/en/groups/jcr:content/content/primary/communitygroups.social.json,aaron.mcdonald@mailinator.com,name,Hiking,urlName,hiking,jcr:description,Hiking Interest Group - Open to All,type,Open,blueprint,/etc/community/templates/groups/reference/reference-group-forum-site ,file,hiking.jpg,,,,,,,,,,,
Group,/content/sites/communities/en/groups/jcr:content/content/primary/communitygroups.social.json,aaron.mcdonald@mailinator.com,name,Running,urlName,running,jcr:description,Running Interest Group - Open to All,type,Open,blueprint,/etc/community/templates/groups/reference/reference-group-forum-site ,file,running.jpg,,,,,,,,,,,
