# The following lines populate the Comments page in the Geometrixx Media site,,,
Comments,/content/geometrixx-media/en/events/warp-11-tour/jcr:content/article-content-par/comments.social.json,,
weston.mccall@dodgit.com,0,No Ottawa date again this year? :(,
Comments,/content/geometrixx-media/en/gadgets/bored-top-25/jcr:content/article-content-par/comments.social.json,,
weston.mccall@dodgit.com,0,+1 to ice cream!,
aaron.mcdonald@mailinator.com,0,How did ice cream not make the list??,
rebekah.larsen@trashymail.com,0,Great ideas! I'll certainly be using these to keep my kids entertained.,
# The following lines populate the Reviews page in the Geometrixx Media site,,,
Reviews,/content/geometrixx-media/en/gadgets/paladin-game/jcr:content/article-content-par/reviews.social.json,,
aaron.mcdonald@mailinator.com,0,If they nail the graphics like they did on the show this game will be a smash hit.,Overall;4;Gameplay;4;Story;5
weston.mccall@dodgit.com,0,My favourite show! Can't wait for this.,Overall;4;Gameplay;4;Story;4
# The following lines populate the Forum page in the Geometrixx Media site,,,
Forum,/content/geometrixx-media/en/community/pad/jcr:content/grid-8-par/forum.social.json,,
rebekah.larsen@trashymail.com,0,Will Paladin be the hit game of 2014?,"I think it will, I but wanted to get a feel for what the rest of the community thinks! Very excited that they're going to make this into a game."
emily.andrews@mailinator.com,1,Reply,L'idea di questo videogioco e` fenomenale: finalmente si potra` interagire con un robot e si potranno simulare azioni reali!
aaron.mcdonald@mailinator.com,1,Reply,I love that spaceship design.
andrew.schaeffer@trashymail.com,1,Reply,Mein geiler neuer Schlitten.
ashley.thompson@spambob.com,1,Reply,"C'est le jeu que j'attendais depuis tellement longtemps! Bon, ben il sort quand ce tresor?"
aaron.mcdonald@mailinator.com,1,Reply,I heard early this summer. Going to be a good movie for popcorn!
