"# The following lines are upgrading and recreating the main ""Community"" page and forum content for the Geometrixx Shapes site",,,
Forum,/content/geometrixx/en/community/jcr:content/par/forum.social.json,,
keith.m.mabry@spambob.com/keith.m.mabry,0,"GeoIcosahedron or GeoDodecahedron, which one is better for my dog.","I own a Golden Retriever, ""Rambo"" and he is crazy for GeoShapes. I was thinking about buying a GeoShape for his 3rd birthday, but could not decide between a GeoIcosahedron and a GeoDodecahedron. Which one would you recommend?"
leonard.a.duncan@mailinator.com/leonard.a.duncan,1,Reply,Do you happen to work on a secret military project in New Mexico?
iris.r.mccoy@mailinator.com/iris.r.mccoy,1,Reply,My German Shepherd really likes his GeoIcosahedron. I can fully recommend it.
larry.a.spiller@pookmail.com/larry.a.spiller,0,Is it ok to combine two GeoPyramids or should I buy the GioBipyramid instead?,I have seen on Wikipedia (http://en.wikipedia.org/wiki/Bipyramid) that a Bipyramid is essentially two Pyramids glued together. Why should I buy a Bipyramid then if I can simply glue two GeoPyramids together? Is there anything that I should be aware of?
iris.r.mccoy@mailinator.com/iris.r.mccoy,1,Reply,"Well, geometrically this is correct, but technically incorrect. GeoBipyramids are made entirely of GeoTriangles, without any glue, which gives them superior strength and durability. Using non industry-strength glue on GeoPyramid will also void your guarantee, so I cannot recommend following this route."
olive.d.pixley@spambob.com/olive.d.pixley,0,Shipping times for GeoPrism,"I ordered GeoPrism three weeks ago, but I am still waiting for the shipping confirmation."
aparker@geometrixx.info/aparker,1,Reply,Please check your SPAM filter. My records indicate we sent a shipping confirmation yesterday.
olive.d.pixley@spambob.com/olive.d.pixley,1,Reply,"Nevermind, TNT (or was it DHL?) just delivered my GeoCube. Thank you."
ralph.e.johnson@mailinator.com/ralph.e.johnson,0,When will you update GeoCylinder?,With the recent GeoCube update the question is even more pressing? When will you release GeoCylinder? It has not been updated in 16 months and loyal fans like me are waiting for GeoCylinder 2.0.
iris.r.mccoy@mailinator.com/iris.r.mccoy,0,Who else is going to ShapeCon this October,I would like to organize a meetup (with drinks) for forum-regulars. Who is in?
shantel.j.jones@pookmail.com/shantel.j.jones,1,Reply,Count me in.
leonard.a.duncan@mailinator.com/leonard.a.duncan,1,Reply,I am in.
ralph.e.johnson@mailinator.com/ralph.e.johnson,1,Reply,Me too.
scott.b.reynolds@dodgit.com/scott.b.reynolds,1,Reply,"Sorry, I can't make it this time to Vegas, but see you next year."
