"# The following lines are upgrading and recreating the main ""Forum"" page and forum content for a Community Site named /community",,,,,,,,,,,,,,,,,,,,,
Forum,/content/sites/engage/jcr:content/content/primary/forum.social.json,rteEnabled,TRUE,allowVoting,TRUE,allowRepliesToComments,TRUE,allowCloseComments,TRUE,allowDeleteComments,TRUE,allowDenyComments,TRUE,allowFlagComments,TRUE,flagModerateThreshold,1,flagViewThreshold,3,allowFileUploads,TRUE
aaron.mcdonald@mailinator.com,0,Slopeside Jacket,"Is there a waterproof rating for the Slopeside jacket, and are the seams taped?",,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"Aaron, I was in the same boat as you when looking at this jacket. I ended up deciding to just buy the jacket and hope that it came with all the info I needed to make an educated decision and either keep it or send it back for something else. This is what the Slopeside gives you: -Guaranteed waterproof to 10,000 mm -Guaranteed breathability to 10,000 g/m2 -Critically taped 13mm seams Now thatês a nice jacket. Needless to say, I kept mine.",,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,1,Reply,"I got last season's version of this jacket and took it up the mountain at least 60 times. If this one is anything like the last one, you will be happy with the waterproof rating. I had zero problems with it, even when I got stuck on the lift one time and was sitting/leaning on it for half an hour straight in a snowstorm. That's about all you need.",,,,,,,,,,,,,,,,,,
james.devore@spambob.com,1,Reply,"Sounds like you're going to hear nothing but greatness about this jacket. I will give the Slopeside my own personal waterproof rating of ‰built like a brick house.' I have taken this everywhere from snowboarding to hiking in a downpour to sitting in the rain at an outdoor concert. Not only is it completely waterproof, but also I never get too hot or clammy because it ventilates so well.",,,,,,,,,,,,,,,,,,
ryan.palmer@spambob.com,1,Reply,I'm happy to hear all of you have great things to say about your jackets because mine was a huge disappointment. The seams leak like crazy. I'm so happy because now I know I got a dudãdefinitely using my warranty and sending mine back for a replacement.,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,Blackcomb Gloves,Do the Blackcomb gloves have a pocket for hand warmers?,,,,,,,,,,,,,,,,,,
boyd.larsen@dodgit.com,1,Reply,Nope. You need to spend about $100 to get a hand warmer pouch.,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,1,Reply,You can just shove the hand warmer in the glove without the pocket!,,,,,,,,,,,,,,,,,,
felicia.carter@trashymail.com,1,Reply,"These gloves do not have hand warmers, but I have found with them that you don't really need the warmers, and I consider myself one to get cold pretty easily, especially in my fingers and toes. The gloves are completely waterproof and have a great drawstring that helps to keep snow out and your body heat out.",,,,,,,,,,,,,,,,,,
jason.werner@dodgit.com,1,Reply,"If you don't want to spend the extra money for gloves with a warmer pouch, I would suggest taking a pair of one-size-fits-all-liners (if you don't already have some, they cost $2 just about anywhere) and wearing them under your gloves. This way, you can slide the hand warmer between the gloves and not risk irritating your hands. The only drawback is, of course, if you need to grip anything like ski poles the warmers will get in the way. Good luck!",,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,Lagos mini longboard,Is the Lagos mini longboard surfboard epoxy or fiberglass?,,,,,,,,,,,,,,,,,,
ashley.thompson@spambob.com,1,Reply,The Lagos is made of epoxy and does not contain any fiberglass.,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,m2121 pedals,"I would be interested in buying the M2121 pedals, but I need to know what type of cleats they pair with first. Any help?",,,,,,,,,,,,,,,,,,
josh.bradley@pookmail.com,1,Reply,"The M2121 pedals take a standard MTB cleat. Fortunately, you don't even have to worry about any of that. The pedals are actually packaged with the cleats! All you need to do is buy these pedals and then some MTB compatible shoes. Sometimes, the shoes will come with the cleats as well, depending on the brand. This is handy because you will wear the cleats out. I have the M2121 and this is a picture of my setup.",,,,,,,,,,,,,,,,,,
andrew.schaeffer@trashymail.com,0,Longirod Trek hiking poles,"I am having trouble with my Longirod Trek hiking poles. I tighten the extension locks as tight as I can, but they still loosen up after only an hour of use. Is there a trick to this that I need to know about? Is this a defect that is covered by my warranty?",,,,,,,,,,,,,,,,,,
